site_id,in_strength,out_strength,betweenness,eigenvector,pagerank,rank_in_strength,rank_out_strength,rank_betweenness,rank_eigenvector,rank_pagerank,avg_rank
31,195231.51,179625.83000000002,0.04078014184397163,0.3091971486597635,0.07497515739976413,8.0,9.0,21.0,3.0,3.0,8.8
40,423838.16,115053.72,0.03634751773049645,0.6913293034419121,0.15743422627091325,2.0,17.0,25.0,1.0,1.0,9.2
10,541263.53,90108.7,0.035460992907801414,0.5889255637264916,0.13113895265004447,1.0,20.0,26.0,2.0,2.0,10.2
49,130851.54,155422.47,0.09175531914893617,0.017784544892727277,0.02004468318756817,11.0,13.0,2.0,13.0,13.0,10.4
36,119621.74,163586.46,0.03945035460992908,0.11326297424476507,0.03459586120036552,14.0,10.0,23.0,5.0,9.0,12.2
41,161621.57,234274.63,0.0013297872340425532,0.21397632047956783,0.04773838406479093,9.0,3.0,43.0,4.0,5.0,12.8
37,120276.95,37212.6,0.07579787234042552,0.10307937065737637,0.03228567295353129,13.0,31.0,5.0,6.0,10.0,13.0
53,87729.34,196022.54,0.04720744680851064,0.018269437405773453,0.01437976657572792,15.0,7.0,16.0,12.0,16.0,13.2
32,224565.5,162871.68,0.018617021276595744,0.02896579557382981,0.014397683267411962,5.0,11.0,34.0,10.0,15.0,15.0
15,159498.57,156282.28999999998,0.03368794326241135,0.009446887137258077,0.01152880396415946,10.0,12.0,27.0,16.0,21.0,17.2
