site_id,out_strength,in_strength,self_recruitment,betweenness,eigenvector,pagerank,backbone,rank_out_strength,rank_in_strength,rank_betweenness,rank_eigenvector,rank_pagerank,avg_rank
31,149008.07,164613.75,30617.76,0.32358156028368795,0.3091971486597635,0.07497515739976413,True,11,8,3,3,3,5.6
40,72999.9,381784.3400000001,42053.82,0.16799645390070922,0.6913293034419121,0.15743422627091325,True,21,4,6,1,1,6.6
10,63723.54999999999,514878.37999999995,26385.15,0.11125886524822695,0.5889255637264916,0.13113895265004447,True,22,1,7,2,2,6.8
41,210037.51999999996,137384.46,24237.11,0.031471631205673756,0.21397632047956783,0.04773838406479093,True,5,10,16,4,5,8.0
32,159281.72,220975.5400000001,3589.96,0.10460992907801418,0.02896579557382981,0.014397683267411962,False,9,5,8,10,15,9.4
49,147324.19000000003,122753.26000000001,8098.28,0.36613475177304966,0.017784544892727277,0.02004468318756817,True,12,12,1,13,13,10.2
36,143792.38999999998,99827.67000000003,19794.07,0.024822695035460994,0.11326297424476507,0.03459586120036552,False,13,14,17,5,9,11.6
53,191207.26,82914.06,4815.28,0.06382978723404255,0.018269437405773453,0.01437976657572792,True,8,15,10,12,16,12.2
47,54913.200000000004,81480.59999999999,1905.87,0.34175531914893614,0.057445635816498135,0.022458317216058808,False,26,16,2,7,11,12.4
15,155074.16999999998,158290.45000000004,1208.12,0.03324468085106383,0.009446887137258077,0.01152880396415946,False,10,9,15,16,21,14.2
52,194494.41,125819.69999999998,857.73,0.06515957446808511,0.004169429096900426,0.008901609322232516,False,7,11,9,21,28,15.2
37,35329.47,118393.82000000002,1883.13,0.015957446808510637,0.10307937065737637,0.03228567295353129,True,31,13,24,6,10,16.8
20,87432.85,61974.350000000006,2898.44,0.0,0.048409655455923066,0.01796176938142005,False,18,17,30,8,14,17.4
19,83435.2,39638.849999999984,1720.97,0.020390070921985814,0.02246510642677006,0.012049521599453855,False,19,22,20,11,19,18.2
42,11554.13,39925.57,3267.56,0.2052304964539007,0.0037905374681116498,0.04115285322236154,False,38,21,4,24,6,18.6
51,30526.190000000002,214907.52000000008,55.95,0.05585106382978723,0.008225451478579088,0.010378327521498459,False,32,6,13,17,25,18.6
4,58210.17999999999,36450.009999999995,1579.06,0.041666666666666664,0.017223558885114214,0.012176327910605717,False,24,25,14,14,18,19.0
12,158.02,387438.79,171.83,0.020390070921985814,0.005886060676939532,0.0394506092390712,False,49,3,20,18,8,19.6
30,48991.520000000004,46254.130000000005,2032.3,0.0,0.04349263236122524,0.013828712306931584,False,28,20,30,9,17,20.8
21,82531.87,36757.25999999998,3086.39,0.0013297872340425532,0.01403154133850622,0.01202732332981777,False,20,24,27,15,20,21.2
16,224478.15,59586.22000000001,27.32,0.0008865248226950354,0.0016192415067831463,0.005655508828204226,False,3,18,29,31,31,22.4
39,41952.54,16138.53,2097.71,0.1804078014184397,0.004751453144940777,0.009080214472403834,False,30,34,5,19,27,23.0
29,298186.03,47088.36,0.0,0.0026595744680851063,0.0006841152767135415,0.004849929017202606,False,2,19,26,37,37,24.2
18,9535.41,37398.420000000006,3169.09,0.0013297872340425532,0.0034296031045569675,0.039872775872018235,False,40,23,27,27,7,24.8
33,309441.95,35221.15,0.0,0.020833333333333332,0.0004359302516340308,0.004403820326844023,False,1,26,19,40,39,25.0
44,113322.25,25592.11,3779.74,0.05806737588652482,0.0014215016284502993,0.004949796030343509,False,16,29,12,33,36,25.2
59,300.33,408206.24000000005,0.0,0.0,0.0035788029145978778,0.01123348631152245,False,48,2,30,25,22,25.4
26,141780.4,20762.599999999995,3213.13,0.019060283687943262,0.0022887446673625586,0.00535782010612321,False,14,30,22,29,33,25.6
17,123157.59,34443.63999999999,2417.16,0.017287234042553192,0.0016658038909259075,0.005056154611885531,False,15,27,23,30,34,25.8
55,23451.149999999998,17364.01,139.83,0.05851063829787234,0.003964824674557358,0.008814150849930692,False,35,33,11,23,29,26.2
11,1583.79,200474.27000000002,0.0,0.0,0.004003574332852481,0.00757567139406658,False,46,7,30,22,30,27.0
54,97287.23999999999,28267.429999999997,1067.81,0.004432624113475177,0.0010698501423966398,0.004951200489772044,False,17,28,25,34,35,27.8
57,12404.73,19276.39,1474.7,0.0,0.001615440172748948,0.021967734755340668,False,37,31,30,32,12,28.4
35,5024.17,17403.48,118.88,0.0,0.004594011847915008,0.010961209627158573,False,44,32,30,20,23,29.8
38,30204.329999999998,13295.520000000002,1434.66,0.0,0.003537251284685284,0.009196111013637827,False,33,36,30,26,26,30.2
1,3374.67,15799.98,7739.38,0.0,0.0003957110938778165,0.05814331139310917,False,45,35,30,41,4,31.0
24,63050.67999999999,10288.929999999998,1382.83,0.0,0.0008409751722396263,0.005642709775697549,False,23,37,30,35,32,31.4
28,197066.22,6440.59,474.45,0.0,0.0006340966384491584,0.0036059183682619375,False,6,38,30,39,46,31.8
27,210130.95,3609.47,299.58,0.0,0.0007199438909781213,0.00354498140728892,False,4,42,30,36,47,31.8
9,57269.11,3835.2400000000007,101.12,0.0,0.0031559710598622194,0.003875102746213518,False,25,41,30,28,44,33.6
6,49922.29,4960.590000000001,965.48,0.02127659574468085,0.0002223318111293958,0.004188588799056857,False,27,40,18,45,43,34.6
56,11443.89,5799.64,1822.83,0.0,0.00037207092403283566,0.010758673036819048,False,39,39,30,42,24,34.8
60,27574.08,3317.75,44.44,0.0,0.0006806144121478826,0.0042406255410434406,False,34,44,30,38,42,37.6
7,44815.03,2470.3700000000003,7295.06,0.0,0.0001265688777934158,0.0042756975102680225,False,29,45,30,46,41,38.2
48,19409.34,2355.84,188.03,0.0,0.0003001770358973857,0.00470582471000656,False,36,46,30,43,38,38.6
3,6777.37,2095.69,0.0,0.0,0.00027957617282003196,0.004340888255374993,False,42,47,30,44,40,40.6
5,7680.7300000000005,3518.5499999999997,190.43,0.0,0.00011790581690694594,0.003719730349694693,False,41,43,30,47,45,41.2
58,6413.110000000001,0.0,0.0,0.0,8.910622908561997e-63,0.0030612244897959186,False,43,49,30,49,49,44.0
50,753.35,343.17,0.0,0.0,2.3204719869809606e-06,0.003066577327187012,False,47,48,30,48,48,44.2
