site_id,in_strength,out_strength,betweenness,eigenvector,pagerank,rank_in_strength,rank_out_strength,rank_betweenness,rank_eigenvector,rank_pagerank,avg_rank
1,23539.36,11114.05,0.04920212765957447,0.0003957110938778165,0.05814331139310917,31.0,41.0,13.0,41.0,4.0,26.0
3,2095.69,6777.37,0.026152482269503546,0.00027957617282003196,0.004340888255374993,47.0,43.0,30.0,44.0,40.0,40.8
4,38029.07,59789.24,0.04078014184397163,0.017223558885114214,0.012176327910605717,25.0,24.0,21.0,14.0,18.0,20.4
5,3708.98,7871.16,0.19968971631205673,0.00011790581690694594,0.003719730349694693,44.0,42.0,1.0,47.0,45.0,35.8
6,5926.07,50887.77,0.050975177304964536,0.0002223318111293958,0.004188588799056857,41.0,29.0,12.0,45.0,43.0,34.0
7,9765.43,52110.09,0.011081560283687944,0.0001265688777934158,0.0042756975102680225,38.0,27.0,37.0,46.0,41.0,37.8
9,3936.36,57370.23,0.08156028368794326,0.0031559710598622194,0.003875102746213518,42.0,25.0,4.0,28.0,44.0,28.6
10,541263.53,90108.7,0.035460992907801414,0.5889255637264916,0.13113895265004447,1.0,20.0,26.0,2.0,2.0,10.2
11,200474.27,1583.79,0.0,0.004003574332852481,0.00757567139406658,7.0,46.0,46.0,22.0,30.0,30.2
12,387610.62,329.85,0.057624113475177305,0.005886060676939532,0.0394506092390712,4.0,48.0,11.0,18.0,8.0,17.8
15,159498.57,156282.28999999998,0.03368794326241135,0.009446887137258077,0.01152880396415946,10.0,12.0,27.0,16.0,21.0,17.2
16,59613.54,224505.47,0.0035460992907801418,0.0016192415067831463,0.005655508828204226,18.0,4.0,42.0,31.0,31.0,25.2
17,36860.8,125574.75,0.0013297872340425532,0.0016658038909259075,0.005056154611885531,26.0,15.0,43.0,30.0,34.0,29.6
18,40567.51,12704.5,0.017287234042553192,0.0034296031045569675,0.039872775872018235,23.0,40.0,35.0,27.0,7.0,26.4
19,41359.82,85156.17,0.028812056737588652,0.02246510642677006,0.012049521599453855,22.0,22.0,28.0,11.0,19.0,20.4
20,64872.79,90331.29,0.02171985815602837,0.048409655455923066,0.01796176938142005,17.0,19.0,32.0,8.0,14.0,18.0
21,39843.65,85618.26,0.047429078014184396,0.01403154133850622,0.01202732332981777,24.0,21.0,15.0,15.0,20.0,19.0
24,11671.76,64433.51,0.043882978723404256,0.0008409751722396263,0.005642709775697549,37.0,23.0,17.0,35.0,32.0,28.8
26,23975.73,144993.53,0.04299645390070922,0.0022887446673625586,0.00535782010612321,30.0,14.0,18.0,29.0,33.0,24.8
27,3909.05,210430.53,0.047872340425531915,0.0007199438909781213,0.00354498140728892,43.0,5.0,14.0,36.0,47.0,29.0
28,6915.04,197540.67,0.05895390070921986,0.0006340966384491584,0.0036059183682619375,40.0,6.0,10.0,39.0,46.0,28.2
29,47088.36,298186.02999999997,0.020390070921985814,0.0006841152767135415,0.004849929017202606,20.0,2.0,33.0,37.0,37.0,25.8
30,48286.43,51023.82,0.0425531914893617,0.04349263236122524,0.013828712306931584,19.0,28.0,20.0,9.0,17.0,18.6
31,195231.51,179625.83000000002,0.04078014184397163,0.3091971486597635,0.07497515739976413,8.0,9.0,21.0,3.0,3.0,8.8
32,224565.5,162871.68,0.018617021276595744,0.02896579557382981,0.014397683267411962,5.0,11.0,34.0,10.0,15.0,15.0
33,35221.15,309441.95,0.004875886524822695,0.0004359302516340308,0.004403820326844023,27.0,1.0,41.0,40.0,39.0,29.6
35,17522.36,5143.05,0.08244680851063829,0.004594011847915008,0.010961209627158573,34.0,45.0,3.0,20.0,23.0,25.0
36,119621.74,163586.46,0.03945035460992908,0.11326297424476507,0.03459586120036552,14.0,10.0,23.0,5.0,9.0,12.2
37,120276.95,37212.6,0.07579787234042552,0.10307937065737637,0.03228567295353129,13.0,31.0,5.0,6.0,10.0,13.0
38,14730.18,31638.99,0.0625,0.003537251284685284,0.009196111013637827,36.0,32.0,8.0,26.0,26.0,25.6
39,18236.24,44050.25,0.04299645390070922,0.004751453144940777,0.009080214472403834,33.0,30.0,18.0,19.0,27.0,25.4
40,423838.16,115053.72,0.03634751773049645,0.6913293034419121,0.15743422627091325,2.0,17.0,25.0,1.0,1.0,9.2
41,161621.57,234274.63,0.0013297872340425532,0.21397632047956783,0.04773838406479093,9.0,3.0,43.0,4.0,5.0,12.8
42,43193.13,14821.69,0.011968085106382979,0.0037905374681116498,0.04115285322236154,21.0,37.0,36.0,24.0,6.0,24.8
44,29371.85,117101.99,0.0,0.0014215016284502993,0.004949796030343509,28.0,16.0,46.0,33.0,36.0,31.8
47,83386.47,56819.07,0.022163120567375887,0.057445635816498135,0.022458317216058808,16.0,26.0,31.0,7.0,11.0,18.2
48,2543.87,19597.37,0.03900709219858156,0.0003001770358973857,0.00470582471000656,46.0,36.0,24.0,43.0,38.0,37.4
49,130851.54,155422.47,0.09175531914893617,0.017784544892727277,0.02004468318756817,11.0,13.0,2.0,13.0,13.0,10.4
50,343.17,753.35,0.028812056737588652,2.3204719869809606e-06,0.003066577327187012,48.0,47.0,28.0,48.0,48.0,43.8
51,214963.47,30582.14,0.008421985815602837,0.008225451478579088,0.010378327521498459,6.0,33.0,39.0,17.0,25.0,24.0
52,126677.43,195352.13999999998,0.009308510638297872,0.004169429096900426,0.008901609322232516,12.0,8.0,38.0,21.0,28.0,21.4
53,87729.34,196022.54,0.04720744680851064,0.018269437405773453,0.01437976657572792,15.0,7.0,16.0,12.0,16.0,13.2
54,29335.239999999998,98355.05,0.0062056737588652485,0.0010698501423966398,0.004951200489772044,29.0,18.0,40.0,34.0,35.0,31.2
55,17503.84,23590.98,0.06826241134751773,0.003964824674557358,0.008814150849930692,35.0,35.0,7.0,23.0,29.0,25.8
56,7622.47,13266.72,0.0004432624113475177,0.00037207092403283566,0.010758673036819048,39.0,39.0,45.0,42.0,24.0,37.8
