site_id,in_strength,out_strength,betweenness,eigenvector,pagerank,rank_in_strength,rank_out_strength,rank_betweenness,rank_eigenvector,rank_pagerank,avg_rank
31,195231.51,179625.83000000002,0.04078014184397163,0.3091971486597635,0.07497515739976413,8.0,9.0,21.0,3.0,3.0,8.8
40,423838.16,115053.72,0.03634751773049645,0.6913293034419121,0.15743422627091325,2.0,17.0,25.0,1.0,1.0,9.2
10,541263.53,90108.7,0.035460992907801414,0.5889255637264916,0.13113895265004447,1.0,20.0,26.0,2.0,2.0,10.2
49,130851.54,155422.47,0.09175531914893617,0.017784544892727277,0.02004468318756817,11.0,13.0,2.0,13.0,13.0,10.4
36,119621.74,163586.46,0.03945035460992908,0.11326297424476507,0.03459586120036552,14.0,10.0,23.0,5.0,9.0,12.2
41,161621.57,234274.63,0.0013297872340425532,0.21397632047956783,0.04773838406479093,9.0,3.0,43.0,4.0,5.0,12.8
37,120276.95,37212.6,0.07579787234042552,0.10307937065737637,0.03228567295353129,13.0,31.0,5.0,6.0,10.0,13.0
53,87729.34,196022.54,0.04720744680851064,0.018269437405773453,0.01437976657572792,15.0,7.0,16.0,12.0,16.0,13.2
32,224565.5,162871.68,0.018617021276595744,0.02896579557382981,0.014397683267411962,5.0,11.0,34.0,10.0,15.0,15.0
15,159498.57,156282.28999999998,0.03368794326241135,0.009446887137258077,0.01152880396415946,10.0,12.0,27.0,16.0,21.0,17.2
12,387610.62,329.85,0.057624113475177305,0.005886060676939532,0.0394506092390712,4.0,48.0,11.0,18.0,8.0,17.8
20,64872.79,90331.29,0.02171985815602837,0.048409655455923066,0.01796176938142005,17.0,19.0,32.0,8.0,14.0,18.0
47,83386.47,56819.07,0.022163120567375887,0.057445635816498135,0.022458317216058808,16.0,26.0,31.0,7.0,11.0,18.2
52,126677.43,195352.13999999998,0.009308510638297872,0.004169429096900426,0.008901609322232516,12.0,8.0,38.0,21.0,28.0,21.4
51,214963.47,30582.14,0.008421985815602837,0.008225451478579088,0.010378327521498459,6.0,33.0,39.0,17.0,25.0,24.0
26,23975.73,144993.53,0.04299645390070922,0.0022887446673625586,0.00535782010612321,30.0,14.0,18.0,29.0,33.0,24.8
16,59613.54,224505.47,0.0035460992907801418,0.0016192415067831463,0.005655508828204226,18.0,4.0,42.0,31.0,31.0,25.2
29,47088.36,298186.02999999997,0.020390070921985814,0.0006841152767135415,0.004849929017202606,20.0,2.0,33.0,37.0,37.0,25.8
59,408206.24,300.33,0.0,0.0035788029145978778,0.01123348631152245,3.0,49.0,46.0,25.0,22.0,29.0
17,36860.8,125574.75,0.0013297872340425532,0.0016658038909259075,0.005056154611885531,26.0,15.0,43.0,30.0,34.0,29.6
33,35221.15,309441.95,0.004875886524822695,0.0004359302516340308,0.004403820326844023,27.0,1.0,41.0,40.0,39.0,29.6
54,29335.239999999998,98355.05,0.0062056737588652485,0.0010698501423966398,0.004951200489772044,29.0,18.0,40.0,34.0,35.0,31.2
44,29371.85,117101.99,0.0,0.0014215016284502993,0.004949796030343509,28.0,16.0,46.0,33.0,36.0,31.8
